Started,Finished,DurationSecs,FromStopId,ToStopId,ChargeAmount,CompanyId,BusID,PAN,Status
24-04-2022 14:00:00,24-04-2022 14:15:00,900,Stop1,Stop3,7.3,Company2,Bus37,3528000700000000,COMPLETED
24-04-2022 14:00:00,,0,Stop1,,7.3,Company2,Bus37,5019717010103740,INCOMPLETE
24-04-2022 14:00:00,24-04-2022 14:02:00,120,Stop1,Stop1,0.0,Company1,Bus37,34343434343434,CANCELLED
24-04-2022 14:00:00,24-04-2022 14:09:00,540,Stop1,Stop2,3.25,Company2,Bus37,4917300800000000,COMPLETED
24-04-2022 14:09:00,,0,Stop2,,5.5,Company1,Bus37,34343434343434,INCOMPLETE
24-04-2022 14:09:00,,0,Stop2,,5.5,Company2,Bus37,122000000000003,INCOMPLETE
24-04-2022 14:09:00,24-04-2022 14:15:00,360,Stop2,Stop3,5.5,Company2,Bus37,4917300800000000,COMPLETED
24-04-2022 14:20:00,24-04-2022 14:25:00,300,Stop2,Stop3,5.5,Company2,Bus40,34343434343434,COMPLETED
24-04-2022 14:20:00,24-04-2022 14:25:00,300,Stop2,Stop3,5.5,Company1,Bus40,5019717010103740,COMPLETED
24-04-2022 14:25:00,,0,Stop1,,7.3,Company2,Bus52,3528000700000000,INCOMPLETE
